DATE,TEMP,RHUM,WDSP,MAXT,MINT
2002-01-01,1.8,0.3576074204715225,6.6,3.5,-0.6
2002-01-02,0.6,0.3596562569811323,2.0,6.4,-4.4
2002-01-03,0.1,0.500369661235751,3.0,3.8,-3.4
2002-01-04,-1.4,0.3308565431532802,5.5,1.4,-4.1
2002-01-05,0.8,0.2866837470054337,5.0,7.7,-3.0
2002-01-06,5.6,0.32337720894956806,4.2,12.1,1.0
2002-01-07,4.4,0.48994039820785096,3.2,12.0,-2.9
2002-01-08,4.3,0.540117764167365,2.2,11.7,-1.8
2002-01-09,4.2,0.5904936599793885,1.2,11.3,-0.7
2002-01-10,5.5,0.5723096916910235,0.3,14.1,-1.0
2002-01-11,4.0,0.6592630103825652,0.3,13.8,-2.5
2002-01-12,4.1,0.6498565528079342,0.4,13.2,-2.6
2002-01-13,2.9,0.6917031116223236,0.3,11.8,-3.1
2002-01-14,2.7,0.6861900892108965,0.6,8.4,-3.1
2002-01-15,4.1,0.7095700196615916,0.2,8.2,2.1
2002-01-16,5.2,0.8631789420338907,1.0,6.8,3.6
2002-01-17,4.7,0.9258261594326594,1.0,5.7,3.0
2002-01-18,6.4,0.8464245982247763,0.0,8.3,4.0
2002-01-19,6.5,0.8173268236732627,0.4,11.8,2.7
2002-01-20,6.7,0.778244928987198,0.6,13.4,2.2
2002-01-21,5.9,0.6635016048819875,0.5,11.6,-0.6
2002-01-22,7.8,0.6869526956998845,0.6,14.5,3.5
2002-01-23,7.6,0.7113591014827009,0.7,14.4,1.8
2002-01-24,8.0,0.7748382130885814,0.0,10.6,2.3
2002-01-25,9.4,0.8793184082722066,0.5,12.3,6.7
2002-01-26,8.6,0.6934866122659347,0.5,16.3,1.6
2002-01-27,10.2,0.6361168439988719,0.3,21.2,2.6
2002-01-28,10.2,0.706488354459102,0.2,18.2,5.4
2002-01-29,11.3,0.6431061113716537,0.4,21.0,3.3
2002-01-30,8.3,0.8369098914368277,0.5,17.9,0.3
2002-01-31,8.6,0.8200867532921897,0.3,13.4,4.5
2002-02-01,10.3,0.85656776593898,0.2,11.5,9.5
2002-02-02,12.6,0.5276730226439573,2.0,18.8,8.3
2002-02-03,11.2,0.48066263435893214,0.6,19.5,2.9
2002-02-04,9.3,0.5904745029089666,0.5,15.4,3.2
2002-02-05,7.4,0.7211287609515927,0.5,11.4,3.4
2002-02-06,9.3,0.8613865590769322,0.2,11.7,7.4
2002-02-07,10.9,0.8866087007036644,1.0,12.1,8.9
2002-02-08,11.9,0.6858161781335621,0.4,19.8,6.2
2002-02-09,11.8,0.5925054053163313,0.7,20.3,5.3
2002-02-10,7.6,0.7063319882908619,0.3,12.6,3.9
2002-02-11,13.3,0.3363551603923229,4.3,15.0,11.1
2002-02-12,11.2,0.43742678940671564,0.8,15.4,3.3
2002-02-13,9.3,0.5656289004919307,0.7,17.1,2.1
2002-02-14,11.2,0.5705274449598879,1.0,18.1,3.0
2002-02-15,8.6,0.7233961127581812,0.8,17.5,4.7
2002-02-16,9.0,0.6991979075130905,1.1,17.1,4.8
2002-02-17,9.4,0.6711253455111483,1.3,16.7,4.9
2002-02-18,9.8,0.6442200289498115,1.5,16.2,4.9
2002-02-19,10.2,0.6228116129539111,1.7,15.8,5.1
2002-02-20,10.6,0.5979237351221737,2.0,15.4,5.1
2002-02-21,10.1,0.5841094955480648,1.8,15.4,4.3
2002-02-22,9.6,0.5745749724274304,1.6,15.3,3.6
2002-02-23,9.1,0.5610566812100807,1.4,15.3,2.8
2002-02-24,8.6,0.5517049624032503,1.2,15.3,1.9
2002-02-25,8.2,0.5348445336614287,1.0,15.3,1.2
2002-02-26,7.7,0.5257267239223831,0.8,15.3,0.4
2002-02-27,10.3,0.8741816824316512,0.0,13.5,8.0
2002-02-28,11.6,0.8351248240859666,0.4,16.0,9.4
2002-03-01,13.4,0.6983031247729284,1.0,20.2,8.4
2002-03-02,13.8,0.6015418999715397,1.1,22.0,6.3
2002-03-03,11.0,0.7328818286021783,0.3,19.4,7.7
2002-03-04,14.1,0.7483809090562967,1.4,19.7,9.9
2002-03-05,14.8,0.49073573050251623,1.0,24.1,8.2
2002-03-06,16.4,0.46841487249277275,1.0,23.7,9.2
2002-03-07,18.0,0.45061340862410143,1.1,23.2,10.2
2002-03-08,15.1,0.4746565048353907,1.9,21.2,8.7
2002-03-09,12.8,0.6032910158396828,2.2,16.1,10.4
2002-03-10,12.8,0.8035952057657842,1.3,16.4,10.4
2002-03-11,11.8,0.3032637337028433,8.6,12.6,11.1
2002-03-12,13.2,0.380766856147328,6.0,18.4,10.0
2002-03-13,12.1,0.526326406310034,0.6,19.8,4.0
2002-03-14,10.2,0.6775541528356501,0.6,19.8,5.6
2002-03-15,13.4,0.608929086017768,1.0,21.3,5.6
2002-03-16,14.9,0.5641394877428026,1.1,22.7,7.0
2002-03-17,13.6,0.6307277501192837,1.0,22.4,6.1
2002-03-18,12.1,0.6675827052329483,0.8,20.9,8.3
2002-03-19,15.3,0.7020259084545486,1.5,17.4,10.0
2002-03-20,17.9,0.5991661454932843,1.8,22.2,12.5
2002-03-21,15.3,0.6926860916398531,0.8,23.0,10.3
2002-03-22,11.6,0.675798223907839,1.6,13.6,9.1
2002-03-23,10.9,0.4026865327362352,4.7,13.6,8.0
2002-03-24,6.9,0.38775798201537987,6.2,8.1,5.0
2002-03-25,8.5,0.37235853403301644,4.3,11.2,6.3
2002-03-26,10.3,0.377753679692462,4.2,13.6,5.4
2002-03-27,10.2,0.36087702481554484,5.8,13.1,7.2
2002-03-28,11.4,0.3307294225251582,5.4,15.7,7.7
2002-03-29,13.3,0.3122900431561136,2.8,19.8,8.1
2002-03-30,14.2,0.3390077340437852,2.8,18.9,8.2
2002-03-31,13.7,0.3579595176430577,1.7,20.9,5.6
2002-04-01,13.6,0.3875369649270149,1.4,22.1,4.5
2002-04-02,14.6,0.42250654906606283,1.3,23.2,4.9
2002-04-03,13.6,0.534078218713517,0.8,22.0,6.7
2002-04-04,13.8,0.6355251573068981,1.3,18.6,9.4
2002-04-05,13.3,0.6793475979095808,1.6,18.4,9.9
2002-04-06,11.4,0.5998862620032488,2.7,15.6,3.8
2002-04-07,12.3,0.5496643186069179,3.0,17.2,8.3
2002-04-08,9.4,0.42896876581508414,1.9,14.4,5.9
2002-04-09,11.6,0.6995193584549368,1.4,18.9,7.9
2002-04-10,12.2,0.8876970458327511,1.9,14.6,10.1
2002-04-11,14.9,0.8064672991878961,0.8,19.3,10.9
2002-04-12,13.4,0.9124328331876257,0.7,14.1,12.6
2002-04-13,15.6,0.8021249382873608,1.9,17.6,13.9
2002-04-14,17.8,0.7114796995258145,3.0,21.1,15.1
2002-04-15,15.2,0.735419344470238,0.3,21.1,10.8
2002-04-16,19.4,0.5792457967389386,2.0,24.2,9.7
2002-04-17,14.5,0.8722667478401691,1.1,16.7,13.0
2002-04-18,14.4,0.7242206675905204,1.1,19.5,9.9
2002-04-19,15.2,0.6696039942870434,0.8,23.7,10.2
2002-04-20,17.4,0.4647417776103513,0.9,25.2,8.8
2002-04-21,18.1,0.4295683326176046,2.3,25.1,12.7
2002-04-22,19.8,0.33118237007812196,2.4,25.3,14.2
2002-04-23,19.4,0.3719917645985416,3.0,24.2,16.4
2002-04-24,19.2,0.361137418490841,2.7,24.6,12.0
2002-04-25,17.6,0.46530097758705047,2.3,20.6,13.8
2002-04-26,17.3,0.49759906484432864,1.6,23.5,9.2
2002-04-27,15.8,0.6890619097265552,1.8,20.3,10.8
2002-04-28,16.1,0.6850793479728144,2.0,20.9,12.9
2002-04-29,15.5,0.7024141007734422,1.0,21.2,10.7
2002-04-30,17.3,0.5701974833226134,0.9,24.5,8.1
2002-05-01,19.1,0.5197291019898128,1.2,27.3,10.7
2002-05-02,21.3,0.4629317553163734,1.9,27.1,12.0
2002-05-03,22.0,0.4376185780493205,1.0,28.6,12.5
2002-05-04,21.3,0.5151581975257857,1.7,29.0,14.2
2002-05-05,20.7,0.4900807689704143,1.6,27.6,13.1
2002-05-06,20.1,0.46273648340784185,1.6,26.2,12.0
2002-05-07,19.6,0.5720947555917101,0.9,25.6,13.0
2002-05-08,18.8,0.6815084328462652,0.6,25.3,16.2
2002-05-09,19.3,0.7282785903251259,0.8,23.8,15.6
2002-05-10,20.7,0.6299697064919068,1.3,25.6,14.2
2002-05-11,21.2,0.5465069458179947,0.8,26.2,15.6
2002-05-12,21.4,0.5615964341609878,1.2,26.0,16.2
2002-05-13,20.4,0.675920520202754,1.0,23.5,16.0
2002-05-14,19.9,0.6364511843063551,0.5,27.6,15.0
2002-05-15,21.7,0.5734912825630377,1.7,28.4,14.9
2002-05-16,24.7,0.3268620758807802,2.8,30.5,17.9
2002-05-17,24.2,0.38831941259747554,2.3,30.1,18.0
2002-05-18,21.4,0.5052540593125072,1.9,28.3,15.3
2002-05-19,22.1,0.46513545256810834,1.4,28.8,13.8
2002-05-20,22.3,0.48788146198631815,1.0,27.3,17.2
2002-05-21,20.0,0.7155657982136052,0.3,25.9,16.1
2002-05-22,20.3,0.6290729967707075,1.5,27.3,16.2
2002-05-23,20.9,0.5715259258525092,1.6,28.1,15.0
2002-05-24,19.0,0.6643027194185395,0.8,28.2,7.4
2002-05-25,22.7,0.6104208402990018,0.7,28.3,18.5
2002-05-26,20.6,0.7305750744415486,1.2,24.7,17.8
2002-05-27,18.5,0.8759060783803988,1.6,21.0,17.0
2002-05-28,15.9,0.867905003455286,0.3,19.8,13.8
2002-05-29,15.2,0.8393218530501892,0.3,19.0,12.2
2002-05-30,19.7,0.5955257355880392,1.4,25.0,14.6
2002-05-31,21.8,0.4429894725293498,2.8,28.1,16.2
2002-06-01,23.1,0.38519989516626796,2.4,28.1,16.2
2002-06-02,20.2,0.5623047700057815,2.0,25.3,15.4
2002-06-03,21.5,0.36775936407054916,3.0,26.0,14.0
2002-06-04,22.3,0.5177870826183468,1.8,26.7,14.1
2002-06-05,20.8,0.6261057614504323,0.3,24.4,15.6
2002-06-06,22.7,0.6550312983932485,1.0,27.1,16.5
2002-06-07,22.9,0.6766415006625592,3.8,26.5,20.6
2002-06-08,21.8,0.6162771586910759,1.1,26.8,16.7
2002-06-09,22.1,0.6129880898046169,1.2,26.8,17.2
2002-06-10,22.3,0.6134470476380214,1.2,26.9,17.6
2002-06-11,22.6,0.6101905792902576,1.2,26.9,18.1
2002-06-12,22.8,0.6067327461961818,1.3,27.0,18.5
2002-06-13,23.0,0.6071954880842617,1.3,27.1,19.0
2002-06-14,23.3,0.60399985350242,1.3,27.1,19.4
2002-06-15,23.5,0.6044638803942303,1.4,27.2,19.9
2002-06-16,23.7,0.6049272030820911,1.4,27.2,20.3
2002-06-17,24.0,0.6017648227011982,1.4,27.3,20.8
2002-06-18,24.2,0.5983978830506861,1.5,27.3,21.2
2002-06-19,24.4,0.5988646885062647,1.5,27.4,21.7
2002-06-20,24.7,0.5957607577561452,1.5,27.4,22.1
2002-06-21,24.9,0.5962287078360439,1.6,27.5,22.6
2002-06-22,25.2,0.5931548166539765,1.6,27.6,23.1
2002-06-23,25.4,0.5898731368349378,1.7,27.6,23.5
2002-06-24,25.7,0.5905795982272655,1.7,27.7,23.9
2002-06-25,25.9,0.587326669762006,1.7,27.7,24.4
2002-06-26,25.0,0.5560522964980831,2.0,30.4,23.0
2002-06-27,25.1,0.5457091939617742,2.0,30.4,22.6
2002-06-28,25.2,0.5355502257392789,2.0,30.5,22.1
2002-06-29,25.3,0.5255722474390874,2.0,30.6,21.7
2002-06-30,25.4,0.5191055284893631,2.0,30.6,21.2
2002-07-01,25.9,0.5203970052980377,1.5,31.0,20.5
2002-07-02,26.4,0.5216843390220108,1.0,31.4,19.8
2002-07-03,26.3,0.5315153284528585,1.0,31.0,20.0
2002-07-04,26.2,0.5415232856062604,1.1,30.6,20.2
2002-07-05,26.1,0.5517112609825932,1.2,30.2,20.4
2002-07-06,25.9,0.5654180133494425,1.2,29.7,20.6
2002-07-07,25.8,0.5760405669018442,1.3,29.3,20.8
2002-07-08,25.7,0.5905795982272655,1.4,28.9,21.0
2002-07-09,25.6,0.6016508637265441,1.4,28.5,21.2
2002-07-10,25.5,0.6129204890070313,1.5,28.1,21.4
2002-07-11,25.4,0.6243918795324062,1.6,27.7,21.7
2002-07-12,25.3,0.6360684970259574,1.6,27.3,21.8
2002-07-13,25.2,0.6520328726781569,1.7,26.9,22.1
2002-07-14,25.0,0.6639950134202292,1.8,26.4,22.3
2002-07-15,24.9,0.680630177877438,1.9,26.1,22.5
2002-07-16,24.8,0.693314004041674,2.0,25.6,22.7
2002-07-17,24.7,0.7062238751268701,2.0,25.2,22.9
2002-07-18,22.8,0.767380402887502,0.5,25.4,20.2
2002-07-19,25.7,0.5542401278343352,1.0,31.2,19.1
2002-07-20,25.8,0.6021127929454777,1.4,31.5,19.3
2002-07-21,25.7,0.6095219326626962,1.5,31.0,20.1
2002-07-22,25.5,0.6167967976297213,1.6,30.6,20.8
2002-07-23,25.3,0.6241695264600468,1.7,30.1,21.7
2002-07-24,25.1,0.6356332102204953,1.9,29.6,22.4
2002-07-25,24.9,0.6432539179531844,2.0,29.1,23.2
2002-07-26,21.4,0.539851064212137,5.0,23.0,19.5
2002-07-27,22.8,0.43691773313872073,6.0,24.0,20.9
