DATE,TEMP,MAXTEMP,MINTEMP,DEWP,HUM,WS,MAXWS
2018-01-01,0.8,6.2,-4.4,-8.4,0.500,1.2,2
2018-01-02,3.4,8.8,-3.2,-4.2,0.576,1.3,2
2018-01-03,4.7,6.6,3.3,4.0,0.949,1.4,5
2018-01-04,6.7,7.9,5.8,6.2,0.968,1.3,3
2018-01-05,8.7,11.9,4.9,7.3,0.909,1.0,1
2018-01-06,10.1,11.9,8.7,9.6,0.965,1.8,4
2018-01-07,9.3,12.7,6.9,2.8,0.640,1.7,3
2018-01-08,8.2,12.8,3.8,0.8,0.594,1.3,3
2018-01-09,8.3,9.7,6.8,7.6,0.955,1.1,2
2018-01-10,12.3,14.4,9.6,11.6,0.956,1.6,4
2018-01-11,13.5,16.1,10.6,10.9,0.841,2.2,5
2018-01-12,12.6,17.0,7.7,8.3,0.752,2.8,6
2018-01-13,7.8,10.0,5.3,6.1,0.892,1.4,3
2018-01-14,5.7,10.3,1.5,3.6,0.866,1.1,2
2018-01-15,9.2,11.9,6.4,8.2,0.933,2.0,4
2018-01-16,6.5,8.6,5.6,-1.2,0.579,4.9,7
2018-01-17,4.3,5.9,3.0,-9.3,0.364,6.4,9
2018-01-18,1.6,3.3,0.1,-12.9,0.332,5.7,8
2018-01-19,0.4,4.8,-4.4,-10.3,0.444,1.7,4
2018-01-20,1.6,7.8,-4.3,-7.8,0.495,1.3,2
2018-01-21,2.3,5.9,-2.4,-5.2,0.577,1.2,2
2018-01-22,3.8,8.6,0.3,-12.6,0.291,3.1,6
2018-01-23,1.2,6.6,-4.9,-11.5,0.382,1.3,3
2018-01-24,4.2,9.8,-2.6,-4.8,0.520,1.7,4
2018-01-25,6.6,10.8,0.1,-1.8,0.548,1.3,2
2018-01-26,7.8,13.0,2.2,0.1,0.584,1.4,2
2018-01-27,8.2,15.8,1.9,2.8,0.689,1.2,2
2018-01-28,9.0,11.8,5.1,5.3,0.777,1.3,3
2018-01-29,10.6,14.6,7.5,6.9,0.777,1.2,2
2018-01-30,8.7,15.1,2.6,4.9,0.772,1.3,2
2018-01-31,9.9,12.1,6.4,7.5,0.852,1.2,2
2018-02-01,8.3,13.3,5.2,5.9,0.846,2.0,5
2018-02-02,4.9,6.1,3.4,4.0,0.940,1.4,3
2018-02-03,5.6,9.6,1.2,2.3,0.791,1.4,3
2018-02-04,8.5,15.5,1.3,6.4,0.867,2.5,5
2018-02-05,8.8,11.3,7.2,7.6,0.923,1.7,3
2018-02-06,7.3,9.0,5.5,6.3,0.933,2.0,3
2018-02-07,7.8,11.4,5.4,2.7,0.703,1.7,4
2018-02-08,6.3,8.9,3.2,-1.9,0.557,3.0,6
2018-02-09,2.6,4.1,1.2,-11.8,0.337,5.7,8
2018-02-10,6.8,10.3,1.1,-5.4,0.415,4.5,7
2018-02-11,8.7,12.5,5.4,-4.1,0.400,3.7,6
2018-02-12,6.8,10.5,2.0,-6.2,0.391,2.5,4
2018-02-13,6.2,13.9,-1.3,-2.4,0.541,1.6,2
2018-02-14,7.8,16.0,0.0,-1.1,0.532,1.4,2
2018-02-15,8.0,15.6,0.8,-1.1,0.527,1.4,2
2018-02-16,9.1,16.9,2.0,-1.2,0.486,1.5,3
2018-02-17,7.9,14.2,1.4,-4.0,0.427,3.4,7
2018-02-18,8.2,11.9,3.8,-13.7,0.195,4.5,7
2018-02-19,6.9,13.0,0.0,-10.3,0.282,1.7,3
2018-02-20,7.3,15.4,-1.2,-6.0,0.381,1.4,3
2018-02-21,8.7,14.6,0.2,0.7,0.572,1.6,3
2018-02-22,9.1,10.1,8.1,8.7,0.972,1.2,2
2018-02-23,10.6,13.9,7.8,8.8,0.886,1.1,2
2018-02-24,11.9,17.3,8.0,9.1,0.829,1.3,3
2018-02-25,10.6,17.8,7.5,6.9,0.777,2.2,5
2018-02-26,10.4,14.7,7.2,5.8,0.733,1.9,3
2018-02-27,10.9,14.1,8.1,7.4,0.788,1.3,2
2018-02-28,11.8,16.3,5.1,6.3,0.692,1.4,3
2018-03-01,8.2,11.4,3.7,1.6,0.632,1.8,4
2018-03-02,5.3,8.4,2.1,2.6,0.827,2.1,4
2018-03-03,9.9,12.2,6.0,3.8,0.657,1.5,2
2018-03-04,9.7,14.6,6.7,4.8,0.714,1.5,4
2018-03-05,7.9,11.6,3.4,4.4,0.787,1.2,2
2018-03-06,10.3,17.2,5.9,-1.0,0.455,3.7,8
2018-03-07,4.7,6.6,2.4,-9.8,0.340,5.2,7
2018-03-08,4.9,9.9,2.2,-11.7,0.288,4.9,7
2018-03-09,4.7,10.4,-2.0,-6.8,0.430,2.0,3
2018-03-10,6.2,13.0,-1.0,-1.8,0.565,1.2,3
2018-03-11,9.2,17.7,0.8,1.0,0.566,1.3,3
2018-03-12,10.4,17.9,3.2,3.0,0.600,1.5,4
2018-03-13,11.9,18.3,4.4,2.2,0.514,1.6,3
2018-03-14,13.6,18.1,9.3,6.1,0.606,1.4,2
2018-03-15,13.6,20.4,10.3,7.0,0.644,1.8,5
2018-03-16,11.8,17.8,6.7,8.1,0.780,1.8,3
2018-03-17,14.1,18.6,10.8,10.6,0.797,2.4,7
2018-03-18,12.2,15.5,8.6,9.6,0.843,1.4,3
2018-03-19,13.6,16.9,10.5,3.6,0.509,3.6,6
2018-03-20,10.2,12.6,8.5,1.3,0.538,4.1,6
2018-03-21,11.9,16.3,9.0,0.0,0.439,4.3,6
2018-03-22,12.4,16.0,10.2,-0.5,0.409,4.5,6
2018-03-23,14.1,19.2,9.5,-1.2,0.349,3.6,6
2018-03-24,15.6,21.2,10.5,2.4,0.409,2.2,4
2018-03-25,13.7,21.1,5.9,5.4,0.573,2.1,5
2018-03-26,11.6,14.4,8.3,9.1,0.848,1.3,2
2018-03-27,12.7,18.2,8.8,9.0,0.781,1.3,3
2018-03-28,11.3,13.3,8.6,10.1,0.921,1.4,3
2018-03-29,11.7,13.1,10.0,10.5,0.921,1.2,2
2018-03-30,14.3,20.0,8.6,7.5,0.637,1.6,4
2018-03-31,16.9,23.5,9.0,5.8,0.479,2.0,4
2018-04-01,13.6,22.1,4.5,-0.1,0.389,1.4,3
2018-04-02,14.6,23.2,4.9,2.0,0.426,1.3,3
2018-04-03,13.6,22.0,6.7,4.4,0.538,0.8,2
2018-04-04,13.8,18.6,9.4,7.1,0.638,1.3,2
2018-04-05,13.3,18.4,9.9,7.6,0.682,1.6,3
2018-04-06,11.4,15.6,3.8,4.0,0.602,2.7,5
2018-04-07,12.3,17.2,8.3,3.6,0.552,3.0,6
2018-04-08,9.4,14.4,5.9,-2.5,0.433,1.9,3
2018-04-09,11.6,18.9,7.9,6.4,0.703,1.4,2
2018-04-10,12.2,14.6,10.1,10.4,0.888,1.9,6
2018-04-11,14.9,19.3,10.9,11.6,0.806,0.8,2
2018-04-12,13.4,14.1,12.6,12.0,0.913,0.7,1
2018-04-13,15.6,17.6,13.8,12.4,0.813,1.8,4
2018-04-14,17.8,21.1,15.1,12.5,0.713,3.0,6
2018-04-15,15.2,21.1,10.8,10.5,0.737,0.3,1
2018-04-16,19.4,24.2,9.7,10.9,0.580,2.0,4
2018-04-17,14.5,16.7,13.0,12.4,0.873,1.1,2
2018-04-18,14.4,19.5,9.9,9.5,0.726,1.1,2
2018-04-19,15.2,23.7,10.2,9.1,0.670,0.8,2
2018-04-20,17.4,25.2,8.8,5.8,0.466,0.9,3
2018-04-21,18.1,25.1,12.7,5.4,0.432,2.3,4
2018-04-22,19.8,25.3,14.2,3.1,0.331,2.4,4
2018-04-23,19.4,24.2,16.4,4.5,0.375,3.0,5
